Driver,Team,Stint,Compound,Start Lap,End Lap,Stint Length,Clean Laps Evaluated,Avg Lap Time,Fastest Lap,Slowest Lap,Pace Drop-off,Degradation Rate (s/lap),Fuel-Adj Deg Rate (s/lap),Pace Std Dev
TSU,RB,2,INTERMEDIATE,28,38,11,9,103.671,101.098,104.979,-0.488,-0.1334,-0.0984,1.213
TSU,RB,3,SOFT,39,52,14,13,91.242,90.229,92.318,0.526,0.0529,0.0879,0.59
VER,Red Bull Racing,1,MEDIUM,1,26,26,24,92.95,91.661,97.108,0.181,0.0796,0.1146,1.779
VER,Red Bull Racing,2,INTERMEDIATE,27,38,12,10,101.828,98.869,103.029,-0.317,-0.0715,-0.0365,1.11
VER,Red Bull Racing,3,HARD,39,52,14,13,89.387,88.952,90.056,-0.438,-0.036,-0.001,0.276
ZHO,Kick Sauber,1,SOFT,1,12,12,10,94.433,93.221,96.323,1.964,0.3019,0.3369,1.074
ZHO,Kick Sauber,2,MEDIUM,13,19,7,5,95.575,92.45,99.637,4.271,2.0001,2.0351,2.912
ZHO,Kick Sauber,3,INTERMEDIATE,20,26,7,5,108.4,104.56,110.248,0.768,0.5989,0.6339,2.061
ZHO,Kick Sauber,4,INTERMEDIATE,27,37,11,9,103.908,101.866,108.01,2.129,0.2726,0.3076,1.882
ZHO,Kick Sauber,5,SOFT,38,50,13,12,91.701,91.014,93.17,-0.403,-0.0403,-0.0053,0.671
